Julio 2016,"$ 6,94"
Agosto 2016,"$ 120,09"
Septiembre 2016,"$ 120,09"
Octubre 2016,"$ 120,09"
Noviembre 2016,"$ 120,09"
Diciembre 2016,"$ 79,63"
Enero 2017,"$ 79,61"
Febrero 2017,"$ 79,59"
Marzo 2017,"$ 79,62"
Abril 2017,"$ 79,63"
Mayo 2017,"$ 79,59"
Junio 2017,"$ 34,45"
Julio 2017,"$ 30,77"
Agosto 2017,"$ 30,76"
Septiembre 2017,"$ 30,78"
Octubre 2017,"$ 27,68"
Noviembre 2017,"$ 27,68"
Diciembre 2017,"$ 15,25"
Enero 2018,"$ 15,26"
Febrero 2018,"$ 15,26"
Marzo 2018,"$ 15,25"
Abril 2018,"$ 15,25"
Mayo 2018,"$ 15,26"
Junio 2018,"$ 15,26"
Julio 2018,"$ 15,25"
Agosto 2018,"$ 15,25"
Septiembre 2018,"$ 15,26"
Octubre 2018,"$ 15,26"
Noviembre 2018,"$ 15,25"