Julio 2016,"$ 73,69"
Agosto 2016,"$ 171,93"
Septiembre 2016,"$ 171,03"
Octubre 2016,"$ 155,80"
Noviembre 2016,"$ 155,83"
Diciembre 2016,"$ 155,79"
Enero 2017,"$ 155,83"
Febrero 2017,"$ 155,82"
Marzo 2017,"$ 155,82"
Abril 2017,"$ 155,81"
Mayo 2017,"$ 155,81"
Junio 2017,"$ 155,83"
Julio 2017,"$ 155,80"
Agosto 2017,"$ 125,40"
Septiembre 2017,"$ 125,37"
Octubre 2017,"$ 125,39"
Noviembre 2017,"$ 125,35"
Diciembre 2017,"$ 125,36"
Enero 2018,"$ 115,54"
Febrero 2018,"$ 102,57"
Marzo 2018,"$ 102,58"
Abril 2018,"$ 102,55"
Mayo 2018,"$ 102,60"
Junio 2018,"$ 102,55"
Julio 2018,"$ 102,57"
Agosto 2018,"$ 102,56"
Septiembre 2018,"$ 102,60"
Octubre 2018,"$ 102,54"
Noviembre 2018,"$ 102,56"
Diciembre 2018,"$ 102,58"
Enero 2019,"$ 93,97"
Febrero 2019,"$ 37,89"
Marzo 2019,"$ 18,16"
Abril 2019,"$ 8,49"
Mayo 2019,"$ 8,49"
Junio 2019,"$ 8,49"
Julio 2019,"$ 8,49"
Agosto 2019,"$ 8,50"
Septiembre 2019,"$ 8,49"
Octubre 2019,"$ 8,49"
Noviembre 2019,"$ 8,49"
Diciembre 2019,"$ 8,49"
Enero 2020,"$ 8,49"